building_name,category,notes
Maxcy Hall,Academic & Administrative,Main administrative offices including Registrar and Financial Aid
Kaplan Hall,Academic & Administrative,Engineering and applied science departments
Dodds Hall,Academic & Administrative,Business school classes and faculty offices
Echlin Hall,Academic & Administrative,Science labs and classrooms
Bergami Hall,Academic & Administrative,Arts and sciences classes and faculty offices
Tagliatela College of Engineering,Academic & Administrative,Engineering college main building
Marvin K. Peterson Library,Academic & Administrative,Main campus library with study spaces printing and research help
Buckman Hall,Academic & Administrative,Criminal justice and forensic science
Bucknall Hall,Academic & Administrative,Graduate and undergraduate classrooms
Mandeville Hall,Academic & Administrative,Classrooms and faculty offices
Sheffield Hall,Academic & Administrative,Classrooms and faculty offices
Harugari Hall,Academic & Administrative,Music and performing arts
Bixler Hall,Academic & Administrative,Classrooms and offices
Novak Field House,Athletics & Recreation,Main gym fitness center and athletic facilities
Charger Plaza,Campus Life,Student center dining and student services
University Student Center,Campus Life,Student organizations events and activities
Bartels & Stoud Dining Hall,Dining,Main student dining hall
Einstein Bros Bagels,Dining,Coffee and breakfast on campus
Nicholson Health Center,Health & Wellness,Student health services and medical appointments
Sports Medicine,Health & Wellness,Athletic training and sports medicine services
Counseling and Psychological Services,Health & Wellness,Mental health counseling for students
Westside Hall,Residence Halls/Housing,Freshman residence hall on west campus
University Student Hall,Residence Halls/Housing,On-campus student housing
Founders Hall,Residence Halls/Housing,Student residential housing
Fitch Hall,Residence Halls/Housing,Student residential housing
Bethea-Donahue Hall,Residence Halls/Housing,Student residential housing
Alumni Hall,Residence Halls/Housing,Student residential housing
Charger Plaza Residential,Residence Halls/Housing,Modern on-campus apartments
Career Development Center,Student Services,CDC office for career advising internships and job search
Office of International Students and Scholars,Student Services,OISS office for international student support
Financial Aid Office,Student Services,Located in Maxcy Hall
Registrar Office,Student Services,Located in Maxcy Hall for transcripts enrollment and records
Student Accounts Office,Student Services,Billing and payment located in Maxcy Hall
Campus Police,Safety & Security,University of New Haven Police Department
